# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0088,06:06:06.82,-36:08:02.72,SWOPE,r,300.0,0.0022978274487782924,False
S008ABE0089,05:58:36.62,-30:40:06.80,SWOPE,r,300.0,0.0022674697095358604,False
S008ABE0090,06:03:39.74,-36:08:02.72,SWOPE,r,300.0,0.002242487265139236,False
S008ABE0091,05:49:02.74,-35:08:25.28,SWOPE,r,300.0,0.0022240897132742997,False
S008ABE0092,06:08:29.29,-35:38:14.00,SWOPE,r,300.0,0.002198973492071844,False
S008ABE0093,05:47:08.92,-30:10:18.08,SWOPE,r,300.0,0.0021531968683875186,False
S008ABE0094,05:53:52.36,-35:38:14.00,SWOPE,r,300.0,0.0021455937471634243,False
S008ABE0095,06:00:54.71,-30:40:06.80,SWOPE,r,300.0,0.0021373239510206247,False
S008ABE0096,06:00:53.31,-30:10:18.08,SWOPE,r,300.0,0.0020597783207355926,False
S008ABE0097,05:46:51.00,-33:09:10.40,SWOPE,r,300.0,0.0020451496091094218,False
S008ABE0098,05:49:26.32,-30:10:18.08,SWOPE,r,300.0,0.0019745165537316998,False
S008ABE0099,05:54:01.12,-30:10:18.08,SWOPE,r,300.0,0.0019513956437543388,False
S008ABE0100,06:01:12.67,-36:08:02.72,SWOPE,r,300.0,0.0019497154998412642,False
S008ABE0101,05:58:35.23,-29:40:29.36,SWOPE,r,300.0,0.0019351093432548499,False
S008ABE0102,06:03:17.18,-31:39:44.24,SWOPE,r,300.0,0.001931517915667783,False
S008ABE0103,05:56:18.52,-29:10:40.64,SWOPE,r,300.0,0.001917949783804334,False
S008ABE0104,06:08:07.92,-33:09:10.40,SWOPE,r,300.0,0.001897865849046817,False
S008ABE0105,06:03:14.97,-31:09:55.52,SWOPE,r,300.0,0.0018884768004807557,False
S008ABE0106,06:05:39.76,-32:09:32.96,SWOPE,r,300.0,0.0018484146454485599,False
S008ABE0107,05:56:18.52,-30:10:18.08,SWOPE,r,300.0,0.001812408183394009,False
S008ABE0108,05:47:06.12,-30:40:06.80,SWOPE,r,300.0,0.0017879698733841204,False
S008ABE0109,06:12:57.37,-33:38:59.12,SWOPE,r,300.0,0.0017770715554539436,False
S008ABE0110,05:46:57.27,-32:09:32.96,SWOPE,r,300.0,0.0017618887899001718,False
S008ABE0111,05:51:43.72,-30:10:18.08,SWOPE,r,300.0,0.0017434852602415758,False
S008ABE0112,06:08:24.81,-35:08:25.28,SWOPE,r,300.0,0.0017180555819758005,False
S008ABE0113,06:10:50.06,-35:08:25.28,SWOPE,r,300.0,0.0016573664912267615,False
S008ABE0114,05:51:45.09,-29:40:29.36,SWOPE,r,300.0,0.0016485570238370614,False
S008ABE0115,06:03:08.66,-29:40:29.36,SWOPE,r,300.0,0.001632074617364791,False
S008ABE0116,06:10:39.68,-34:08:47.84,SWOPE,r,300.0,0.0016192338259654027,False
S008ABE0117,05:51:26.20,-35:38:14.00,SWOPE,r,300.0,0.0016160051630722172,False
S008ABE0118,06:12:51.68,-33:09:10.40,SWOPE,r,300.0,0.001603372233733589,False
S008ABE0119,06:00:50.61,-29:10:40.64,SWOPE,r,300.0,0.0016004536477540006,False
S008ABE0120,05:44:36.96,-32:09:32.96,SWOPE,r,300.0,0.0015998070259203455,False
S008ABE0121,05:58:35.91,-30:10:18.08,SWOPE,r,300.0,0.001598893885276681,False
S008ABE0122,05:56:18.52,-36:37:51.44,SWOPE,r,300.0,0.0015873116990984225,False
S008ABE0123,06:03:12.81,-30:40:06.80,SWOPE,r,300.0,0.0015786261601572888,False
S008ABE0124,06:00:51.94,-29:40:29.36,SWOPE,r,300.0,0.0015348776087562536,False
S008ABE0125,05:44:40.74,-31:39:44.24,SWOPE,r,300.0,0.001529693605072108,False
S008ABE0126,06:08:03.95,-32:39:21.68,SWOPE,r,300.0,0.0015259107670426862,False
S008ABE0127,06:05:28.11,-30:10:18.08,SWOPE,r,300.0,0.0015184039891332024,False
S008ABE0128,05:56:18.52,-36:08:02.72,SWOPE,r,300.0,0.001502073787060529,False
S008ABE0129,06:06:10.59,-36:37:51.44,SWOPE,r,300.0,0.0015001983282130114,False
S008ABE0130,05:56:18.52,-28:40:51.92,SWOPE,r,300.0,0.0014645115409178705,False
S008ABE0131,05:58:33.91,-28:40:51.92,SWOPE,r,300.0,0.0014632627234178956,False
S008ABE0132,05:53:51.44,-36:08:02.72,SWOPE,r,300.0,0.0014486029387610483,False
