# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S025AAE00087,20:49:31.70,+07:26:16.73,SWOPE,R,300.0,0.002434398566445205,False
S025AAE00088,21:04:04.04,+13:23:18.09,SWOPE,R,300.0,0.0024249792765348166,False
S025AAE00089,20:53:57.95,+10:24:47.41,SWOPE,R,300.0,0.0024178323515941023,False
S025AAE00090,21:00:59.97,+08:25:46.95,SWOPE,R,300.0,0.0024022744752185423,False
S025AAE00091,20:50:44.20,+08:55:32.07,SWOPE,R,300.0,0.0023935450580709152,False
S025AAE00092,21:00:45.53,+12:23:47.87,SWOPE,R,300.0,0.002391785787057218,False
S025AAE00093,20:57:28.67,+11:24:17.64,SWOPE,R,300.0,0.002390077900631969,False
S025AAE00094,21:06:50.09,+12:23:47.87,SWOPE,R,300.0,0.002374747616831209,False
S025AAE00095,20:52:02.62,+05:57:01.39,SWOPE,R,300.0,0.0023743438569004795,False
S025AAE00096,20:57:45.54,+06:26:46.50,SWOPE,R,300.0,0.0023608333610375737,False
S025AAE00097,20:54:01.95,+05:57:01.39,SWOPE,R,300.0,0.0023558543829271333,False
S025AAE00098,20:49:47.54,+06:26:46.50,SWOPE,R,300.0,0.0023287608264193176,False
S025AAE00099,21:09:47.96,+16:21:48.78,SWOPE,R,300.0,0.00232492397949632,False
S025AAE00100,21:05:32.71,+11:24:17.64,SWOPE,R,300.0,0.0023061222587661898,False
S025AAE00101,21:10:38.81,+12:53:32.98,SWOPE,R,300.0,0.002306040645980561,False
S025AAE00102,20:58:59.31,+11:54:02.75,SWOPE,R,300.0,0.0023052892621554084,False
S025AAE00103,21:02:30.39,+09:25:17.18,SWOPE,R,300.0,0.0022909914826161216,False
S025AAE00104,21:04:51.89,+14:52:33.44,SWOPE,R,300.0,0.0022661595630496167,False
S025AAE00105,21:12:12.17,+13:23:18.09,SWOPE,R,300.0,0.002255873528351711,False
S025AAE00106,21:02:02.01,+13:23:18.09,SWOPE,R,300.0,0.0022105234217741987,False
S025AAE00107,21:04:01.30,+10:24:47.41,SWOPE,R,300.0,0.0022067839558834526,False
S025AAE00108,20:59:30.03,+07:26:16.73,SWOPE,R,300.0,0.0022043005508346684,False
S025AAE00109,21:08:51.61,+12:23:47.87,SWOPE,R,300.0,0.002201513388030248,False
S025AAE00110,21:15:06.40,+14:52:33.44,SWOPE,R,300.0,0.0022006658629671093,False
S025AAE00111,20:52:13.02,+09:55:02.30,SWOPE,R,300.0,0.00219705674836288,False
